Hrapx,Hrapy,Lat,Lon,Globvalue,,,,,,
271,671.3333,37.10479877120,-76.49395808780,0.1075,,,,,-76.49398747170,37.10484592850
330,665.8333,37.10514019610,-76.49395097230,0.1083,,,,,-76.49398747170,37.10484592850
818.8333,604.6667,37.19871222330,-76.49394851540,0.1092,,,,,-76.49398525650,37.11479314100
241.6667,679.5,37.10477519330,-76.49394339500,0.1092,,,,,-76.49398414890,36.98209558470
1546.25,206.3333,37.11508473100,-76.49394292160,0.1092,,,,,-76.49396954760,37.10516073980
309.3333,668.9167,37.11508321230,-76.49393451330,0.11,,,,,-76.49395808780,37.10479877120
286.25,674.3333,37.11508068010,-76.49392049870,0.11,,,,,-76.49395097230,37.10514019610
327.25,670.9167,37.10508956360,-76.49392032980,0.11,,,,,-76.49394851540,37.19871222330
273.8333,674,37.26139972290,-76.49390344060,0.11,,,,,-76.49394339500,37.10477519330
295.3333,672.4167,37.10505633470,-76.49390021840,0.11,,,,,-76.49394292160,37.11508473100
307.1667,673.8333,37.10487441830,-76.49388788900,0.1108,,,,,-76.49393451330,37.11508321230
321.6667,669.4167,37.10467940490,-76.49388370460,0.1108,,,,,-76.49392049870,37.11508068010
279.6667,677.1667,37.10488041840,-76.49388088840,0.1108,,,,,-76.49392032980,37.10508956360
253.0833,677.6667,36.86336978860,-76.49387535930,0.1108,,,,,-76.49390344060,37.26139972290
269.25,678.0833,37.10501361660,-76.49387436580,0.1117,,,,,-76.49390021840,37.10505633470
337.9167,667.6667,37.10501361660,-76.49387436580,0.1117,,,,,-76.49388788900,37.10487441830
295.1667,670.25,37.10501361660,-76.49387436580,0.1117,,,,,-76.49388370460,37.10467940490
398.25,666.9167,37.10501361660,-76.49387436580,0.1117,,,,,-76.49388088840,37.10488041840
331.5,671,37.10501361660,-76.49387436490,0.1117,,,,,-76.49387535930,36.86336978860
316.5833,669.5833,37.10501361660,-76.49387436490,0.1117,,,,,-76.49387436580,37.10501361660
443.5,254.25,37.11507155600,-76.49387005020,0.1125,,,,,-76.49387436580,37.10501361660
291.0833,670.5,37.11507155600,-76.49387005020,0.1125,,,,,-76.49387436580,37.10501361660
276.1667,676.8333,37.10499921700,-76.49386992630,0.1133,,,,,-76.49387436580,37.10501361660
313.1667,672.8333,37.10499921700,-76.49386992630,0.1133,,,,,-76.49387436490,37.10501361660
339.4167,660.9167,36.82377031960,-76.49386634830,0.1133,,,,,-76.49387436490,37.10501361660
314.3333,671.0833,37.07372391160,-76.49385997830,0.1142,,,,,-76.49387005020,37.11507155600
363.75,666.6667,36.89553323670,-76.49385363980,0.1142,,,,,-76.49387005020,37.11507155600
426.5,665.25,37.10497849840,-76.49385297780,0.1142,,,,,-76.49386992630,37.10499921700
297.0833,672.5,37.10460642280,-76.49384552260,0.1142,,,,,-76.49386992630,37.10499921700
340.1667,664.1667,37.26422581370,-76.49384275760,0.1142,,,,,-76.49386634830,36.82377031960
315.4167,673.1667,37.11506612120,-76.49384020550,0.115,,,,,-76.49385997830,37.07372391160
460.3333,641.3333,36.89441204110,-76.49383768210,0.115,,,,,-76.49385363980,36.89553323670
306.4167,673.0833,37.11476478310,-76.49382886790,0.115,,,,,-76.49385297780,37.10497849840
238.1667,679.75,37.10493836660,-76.49382853550,0.115,,,,,-76.49384552260,37.10460642280
254.8333,676.5,37.26431226390,-76.49382634180,0.115,,,,,-76.49384275760,37.26422581370
293.1667,673.0833,37.11506328450,-76.49382463410,0.1158,,,,,-76.49384020550,37.11506612120
428.4167,666.4167,37.11506304880,-76.49382333520,0.1158,,,,,-76.49383768210,36.89441204110
556.5,343.9167,37.10457635170,-76.49382034200,0.1158,,,,,-76.49382886790,37.11476478310
308.4167,670.5,36.86348198550,-76.49382030510,0.1158,,,,,-76.49382853550,37.10493836660
290.1667,672.3333,36.89438544370,-76.49381939240,0.1158,,,,,-76.49382634180,37.26431226390
266.1667,675.5833,37.10491625810,-76.49381876630,0.1158,,,,,-76.49382463410,37.11506328450
292.25,677.75,37.10493283570,-76.49380692110,0.1167,,,,,-76.49382333520,37.11506304880
238.25,677.9167,36.98223952770,-76.49380690410,0.1167,,,,,-76.49382034200,37.10457635170
306.8333,673.25,36.98241657660,-76.49380351200,0.1167,,,,,-76.49382030510,36.86348198550
236.6667,676.0833,36.98241657590,-76.49380351110,0.1167,,,,,-76.49381939240,36.89438544370
277.3333,672.25,37.19837391830,-76.49380155730,0.1175,,,,,-76.49381876630,37.10491625810
251.25,679.75,37.11505903300,-76.49380127520,0.1183,,,,,-76.49380692110,37.10493283570
294.5,671.1667,37.10488284930,-76.49379815990,0.1183,,,,,-76.49380690410,36.98223952770
265.0833,679,37.10487980370,-76.49379286430,0.1183,,,,,-76.49380351200,36.98241657660
331.3333,667.5,37.10487980370,-76.49379286430,0.1183,,,,,-76.49380351110,36.98241657590
322.9167,668.75,37.10487980370,-76.49379286430,0.1192,,,,,-76.49380155730,37.19837391830
293,671.4167,37.10487980370,-76.49379286340,0.12,,,,,-76.49380127520,37.11505903300
381.1667,665.6667,37.10487980370,-76.49379286340,0.12,,,,,-76.49379815990,37.10488284930
251.0833,679.25,37.10493242370,-76.49377513600,0.12,,,,,-76.49379286430,37.10487980370
1564.5,203,36.98244127040,-76.49377325680,0.1208,,,,,-76.49379286430,37.10487980370
292.3333,674.75,36.89510114720,-76.49377321370,0.1208,,,,,-76.49379286430,37.10487980370
1534.5833,201.75,37.10484524860,-76.49377170630,0.1208,,,,,-76.49379286340,37.10487980370
302,671.8333,37.11505336100,-76.49377012970,0.1208,,,,,-76.49379286340,37.10487980370
240.5,681,36.86356528710,-76.49376340140,0.1217,,,,,-76.49377513600,37.10493242370
238.3333,679,37.10483142490,-76.49376324500,0.1217,,,,,-76.49377325680,36.98244127040
372.0833,664,37.10483004290,-76.49376239700,0.1225,,,,,-76.49377321370,36.89510114720
395.6667,667.5,37.10482589690,-76.49375985840,0.1225,,,,,-76.49377170630,37.10484524860
344.3333,665.8333,37.10493059470,-76.49375870590,0.1225,,,,,-76.49377012970,37.11505336100
307.75,671.0833,36.86357222910,-76.49375865910,0.1225,,,,,-76.49376340140,36.86356528710
254.5,680.5,37.27688378960,-76.49375773750,0.1225,,,,,-76.49376324500,37.10483142490
374.5,661.0833,36.86357377150,-76.49375760540,0.1233,,,,,-76.49376239700,37.10483004290
236.1667,679.4167,37.10482175020,-76.49375731980,0.1233,,,,,-76.49375985840,37.10482589690
545.8333,70.0833,37.10476441740,-76.49374688940,0.1233,,,,,-76.49375870590,37.10493059470
,,,,,,,,,-76.49375865910,36.86357222910
,,,,,,,,,-76.49375773750,37.27688378960
,,,,,,,,,-76.49375760540,36.86357377150
,,,,,,,,,-76.49375731980,37.10482175020
,,,,,,,,,-76.49374688940,37.10476441740
